Site Address,Nickname,Lot Size (SF),Building Size / Office Portion ONLY (SF),Monthly Rate (all in),Generated
1200 E Devon Ave,,155509,"36,073 / 4,960",50472,2026-09-15 01:30
700 Chase Ave,,184259,"51,258 - 57,600",89664,2026-09-15 01:30
621 Busse Rd,,113256,"30,642 / 12,306",78954,2026-09-15 01:30
5110 Tollview Dr,,121097,"41,000 (divisible); a separate flex listing shows 50,511 SF and 6 dock doors, possibly a combined 5108+5110 address - unreconciled / 1,500",58767,2026-09-15 01:30
332 Fort Hill Dr,,239580,"12,604",44114,2026-09-15 01:30
1555 and 1567 Frontenac Road,,177725,"28,607 (1555) + 40,034 (1567) = 68,641 combined",68927,2026-09-15 01:30
1100 Kingsland Dr,,"174,240 SF (plus extra land per the broker)","55,475 / 9,986",47385,2026-09-15 01:30
8001 W 47th Street,,363290,"41,024 + 19,553 = 60,577 combined (per the broker; CBRE's public listing shows Unit A ~40,500-60,413 SF and Unit B ~11,888-19,913 SF instead)",,2026-09-15 01:30
8701 W 50th Street,,197762,"42,726",,2026-09-15 01:30
9140 W 55th Street,,3483493,"123,320 (divisible to 39,362) / 3,706",,2026-09-15 01:30
4002 S Princeton Ave,,213008,"180,900 (divisible to 25,920)",,2026-09-15 01:30
2250 White Oak Circle,,213008,"37,400 / 2,680",44600,2026-09-15 01:30
1550 Bryn Mawr Ave,,209524,"62,970 / 2,680",66591,2026-09-15 01:30
235 N Artesian Ave,Uber Site,52272,"56,068",,2026-09-15 01:30
